Location | Metric |  2014-11-14 19:00:00 |  2014-11-15 19:00:00 |  2014-11-16 19:00:00 |  2014-11-17 19:00:00 |  2014-11-18 19:00:00 |  2014-11-19 19:00:00 |  2014-11-20 19:00:00 |  2014-11-21 19:00:00 |  2014-11-22 19:00:00 |  2014-11-23 19:00:00 |  2014-11-24 19:00:00 |  2014-11-25 19:00:00 |  2014-11-26 19:00:00 |  2014-11-27 19:00:00 |  2014-11-28 19:00:00 |  2014-11-29 19:00:00 |  2014-11-30 19:00:00 |  2014-12-01 19:00:00 |  2014-12-02 19:00:00 |  2014-12-03 19:00:00 |  2014-12-04 19:00:00 |  2014-12-05 19:00:00 |  2014-12-06 19:00:00 |  2014-12-07 19:00:00 |  2014-12-08 19:00:00 |  2014-12-09 19:00:00 |  2014-12-10 19:00:00 |  2014-12-11 19:00:00 |  2014-12-12 19:00:00 |  2014-12-13 19:00:00 |  2014-12-14 19:00:00 |  2014-12-15 19:00:00 |  2014-12-16 19:00:00 |  2014-12-17 19:00:00 |  2014-12-18 19:00:00 |  2014-12-19 19:00:00 |  2014-12-20 19:00:00 |  2014-12-21 19:00:00 |  2014-12-22 19:00:00 |  2014-12-23 19:00:00 |  2014-12-24 19:00:00 |  2014-12-25 19:00:00 |  2014-12-26 19:00:00 |  2014-12-27 19:00:00 |  2014-12-28 19:00:00 |  2014-12-29 19:00:00 |  2014-12-30 19:00:00 |  2014-12-31 19:00:00 |  2015-01-01 19:00:00 |  2015-01-02 19:00:00 |  2015-01-03 19:00:00 |  2015-01-04 19:00:00 |  2015-01-05 19:00:00 |  2015-01-06 19:00:00 |  2015-01-07 19:00:00 |  2015-01-08 19:00:00 |  2015-01-09 19:00:00 |  2015-01-10 19:00:00 |  2015-01-11 19:00:00 |  2015-01-12 19:00:00 |  2015-01-13 19:00:00 |  2015-01-14 19:00:00 |  2015-01-15 19:00:00 |  2015-01-16 19:00:00 |  2015-01-17 19:00:00 |  2015-01-18 19:00:00 |  2015-01-19 19:00:00 |  2015-01-20 19:00:00 |  2015-01-21 19:00:00 |  2015-01-22 19:00:00 |  2015-01-23 19:00:00 |  2015-01-24 19:00:00 |  2015-01-25 19:00:00 |  2015-01-26 19:00:00 |  2015-01-27 19:00:00 |  2015-01-28 19:00:00 |  2015-01-29 19:00:00 |  2015-01-30 19:00:00 |  2015-01-31 19:00:00 |  2015-02-01 19:00:00 |  2015-02-02 19:00:00 |  2015-02-03 19:00:00 |  2015-02-04 19:00:00 |  2015-02-05 19:00:00 |  2015-02-06 19:00:00 |  2015-02-07 19:00:00 |  2015-02-08 19:00:00 |  2015-02-09 19:00:00 |  
eatscardislekiosk | Total visits |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  20 |  6 |  4 |  5 |  7 |  10 |  5 |  4 |  7 |  0 |  7 |  2 |  7 |  14 |  3 |  7 |  6 |  11 |  5 |  4 |  0 |  3 |  2 |  2 |  3 |  1 |  2 |  0 |  4 |  6 |  4 |  2 |  2 |  11 |  10 |  3 |  4 |  5 |  2 |  6 |  6 |  4 |  2 |  2 |  4 |  4 |  2 |  3 |  4 |  8 |  9 |  2 |  2 |  4 |  4 |  2 |  4 |  4 |  2 |  13 |  0 |  5 |  5 |  5 |  5 |  4 |  15 |  
eatscardislekiosk | Visits reaching subcategory |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  20 |  5 |  4 |  4 |  3 |  9 |  3 |  4 |  7 |  0 |  7 |  2 |  5 |  2 |  3 |  5 |  6 |  11 |  3 |  1 |  0 |  2 |  2 |  2 |  2 |  1 |  1 |  0 |  4 |  5 |  4 |  1 |  2 |  7 |  9 |  2 |  3 |  2 |  1 |  4 |  2 |  4 |  1 |  2 |  3 |  3 |  1 |  3 |  1 |  7 |  7 |  1 |  1 |  4 |  4 |  1 |  2 |  2 |  0 |  6 |  0 |  4 |  5 |  5 |  4 |  4 |  14 |  
eatscardislekiosk | Visits reaching design |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  18 |  5 |  4 |  2 |  3 |  4 |  3 |  3 |  6 |  0 |  6 |  1 |  6 |  14 |  2 |  6 |  6 |  11 |  2 |  3 |  0 |  1 |  1 |  2 |  1 |  1 |  1 |  0 |  3 |  3 |  4 |  1 |  2 |  4 |  9 |  1 |  0 |  2 |  1 |  4 |  2 |  3 |  1 |  2 |  2 |  3 |  1 |  3 |  1 |  6 |  4 |  1 |  1 |  1 |  1 |  1 |  0 |  1 |  0 |  5 |  0 |  5 |  3 |  4 |  3 |  4 |  13 |  
eatscardislekiosk | Visits reaching print |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  0 |  0 |  2 |  0 |  1 |  0 |  3 |  0 |  3 |  1 |  3 |  12 |  0 |  1 |  2 |  6 |  0 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  2 |  1 |  1 |  0 |  1 |  3 |  6 |  1 |  0 |  0 |  1 |  4 |  2 |  2 |  1 |  1 |  1 |  2 |  0 |  1 |  0 |  4 |  1 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  4 |  3 |  2 |  3 |  1 |  8 |  
eatscardislekiosk | Visits reaching purchase |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  0 |  0 |  2 |  0 |  1 |  0 |  3 |  0 |  3 |  1 |  3 |  12 |  0 |  1 |  2 |  6 |  0 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  2 |  1 |  1 |  0 |  1 |  3 |  5 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  2 |  3 |  0 |  7 |  
techcardislekiosk | Total visits |  2 |  8 |  4 |  7 |  6 |  13 |  7 |  2 |  1 |  6 |  1 |  1 |  1 |  0 |  1 |  2 |  9 |  6 |  9 |  12 |  13 |  11 |  9 |  4 |  13 |  19 |  16 |  16 |  7 |  3 |  7 |  6 |  11 |  8 |  9 |  1 |  2 |  2 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  4 |  0 |  5 |  1 |  1 |  1 |  5 |  1 |  4 |  1 |  0 |  7 |  4 |  7 |  7 |  6 |  6 |  14 |  6 |  7 |  13 |  13 |  2 |  16 |  12 |  15 |  13 |  11 |  14 |  11 |  10 |  11 |  4 |  3 |  6 |  
techcardislekiosk | Visits reaching subcategory |  2 |  7 |  2 |  6 |  5 |  9 |  6 |  2 |  1 |  6 |  0 |  0 |  0 |  0 |  0 |  0 |  9 |  4 |  7 |  9 |  12 |  11 |  8 |  4 |  10 |  13 |  15 |  15 |  6 |  3 |  5 |  4 |  9 |  8 |  9 |  1 |  2 |  2 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  4 |  0 |  4 |  1 |  1 |  0 |  4 |  0 |  1 |  0 |  0 |  3 |  4 |  2 |  4 |  3 |  4 |  9 |  6 |  5 |  11 |  8 |  2 |  12 |  11 |  9 |  7 |  6 |  11 |  5 |  9 |  8 |  4 |  3 |  5 |  
techcardislekiosk | Visits reaching design |  1 |  5 |  2 |  6 |  2 |  6 |  4 |  1 |  1 |  6 |  0 |  0 |  0 |  0 |  0 |  2 |  6 |  3 |  7 |  8 |  9 |  8 |  7 |  2 |  3 |  16 |  12 |  14 |  5 |  2 |  4 |  2 |  9 |  7 |  7 |  0 |  2 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  0 |  3 |  1 |  1 |  0 |  3 |  0 |  1 |  0 |  0 |  3 |  2 |  2 |  4 |  2 |  1 |  8 |  2 |  4 |  7 |  7 |  2 |  11 |  11 |  6 |  5 |  6 |  9 |  3 |  7 |  4 |  1 |  3 |  4 |  
techcardislekiosk | Visits reaching print |  1 |  0 |  0 |  1 |  0 |  1 |  1 |  0 |  0 |  6 |  0 |  0 |  0 |  0 |  0 |  1 |  3 |  0 |  2 |  3 |  4 |  3 |  0 |  0 |  1 |  13 |  4 |  6 |  2 |  0 |  2 |  1 |  2 |  1 |  1 |  0 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  2 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  1 |  1 |  4 |  0 |  0 |  1 |  3 |  0 |  2 |  8 |  3 |  0 |  5 |  5 |  2 |  4 |  0 |  1 |  0 |  1 |  
techcardislekiosk | Visits reaching purchase |  1 |  0 |  0 |  1 |  0 |  1 |  1 |  0 |  0 |  6 |  0 |  0 |  0 |  0 |  0 |  1 |  3 |  0 |  2 |  3 |  4 |  3 |  0 |  0 |  1 |  13 |  4 |  6 |  2 |  0 |  2 |  1 |  2 |  1 |  1 |  0 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  2 |  1 |  0 |  1 |  0 |  0 |  0 |  1 |  
