Location | Metric |  2014-11-14 19:00:00 |  2014-11-15 19:00:00 |  2014-11-16 19:00:00 |  2014-11-17 19:00:00 |  2014-11-18 19:00:00 |  2014-11-19 19:00:00 |  2014-11-20 19:00:00 |  2014-11-21 19:00:00 |  2014-11-22 19:00:00 |  2014-11-23 19:00:00 |  2014-11-24 19:00:00 |  2014-11-25 19:00:00 |  2014-11-26 19:00:00 |  2014-11-27 19:00:00 |  2014-11-28 19:00:00 |  2014-11-29 19:00:00 |  2014-11-30 19:00:00 |  2014-12-01 19:00:00 |  2014-12-02 19:00:00 |  2014-12-03 19:00:00 |  2014-12-04 19:00:00 |  2014-12-05 19:00:00 |  2014-12-06 19:00:00 |  2014-12-07 19:00:00 |  2014-12-08 19:00:00 |  2014-12-09 19:00:00 |  2014-12-10 19:00:00 |  2014-12-11 19:00:00 |  2014-12-12 19:00:00 |  2014-12-13 19:00:00 |  2014-12-14 19:00:00 |  2014-12-15 19:00:00 |  2014-12-16 19:00:00 |  2014-12-17 19:00:00 |  2014-12-18 19:00:00 |  2014-12-19 19:00:00 |  2014-12-20 19:00:00 |  2014-12-21 19:00:00 |  2014-12-22 19:00:00 |  2014-12-23 19:00:00 |  2014-12-24 19:00:00 |  2014-12-25 19:00:00 |  2014-12-26 19:00:00 |  2014-12-27 19:00:00 |  2014-12-28 19:00:00 |  2014-12-29 19:00:00 |  2014-12-30 19:00:00 |  2014-12-31 19:00:00 |  2015-01-01 19:00:00 |  2015-01-02 19:00:00 |  2015-01-03 19:00:00 |  2015-01-04 19:00:00 |  2015-01-05 19:00:00 |  2015-01-06 19:00:00 |  2015-01-07 19:00:00 |  2015-01-08 19:00:00 |  2015-01-09 19:00:00 |  2015-01-10 19:00:00 |  2015-01-11 19:00:00 |  2015-01-12 19:00:00 |  2015-01-13 19:00:00 |  2015-01-14 19:00:00 |  2015-01-15 19:00:00 |  2015-01-16 19:00:00 |  2015-01-17 19:00:00 |  2015-01-18 19:00:00 |  2015-01-19 19:00:00 |  2015-01-20 19:00:00 |  2015-01-21 19:00:00 |  2015-01-22 19:00:00 |  2015-01-23 19:00:00 |  2015-01-24 19:00:00 |  2015-01-25 19:00:00 |  2015-01-26 19:00:00 |  2015-01-27 19:00:00 |  2015-01-28 19:00:00 |  2015-01-29 19:00:00 |  2015-01-30 19:00:00 |  2015-01-31 19:00:00 |  2015-02-01 19:00:00 |  2015-02-02 19:00:00 |  2015-02-03 19:00:00 |  2015-02-04 19:00:00 |  2015-02-05 19:00:00 |  2015-02-06 19:00:00 |  2015-02-07 19:00:00 |  2015-02-08 19:00:00 |  2015-02-09 19:00:00 |  
1stmaincardislekiosk | Total visits |  1 |  3 |  1 |  3 |  1 |  4 |  2 |  2 |  6 |  3 |  7 |  3 |  3 |  3 |  4 |  0 |  1 |  2 |  0 |  7 |  5 |  6 |  2 |  4 |  3 |  7 |  7 |  10 |  2 |  2 |  4 |  1 |  4 |  16 |  6 |  4 |  7 |  2 |  10 |  3 |  4 |  0 |  1 |  0 |  0 |  4 |  1 |  1 |  2 |  1 |  2 |  1 |  2 |  1 |  1 |  1 |  5 |  1 |  1 |  4 |  0 |  1 |  2 |  1 |  7 |  1 |  2 |  3 |  3 |  2 |  2 |  2 |  3 |  3 |  0 |  2 |  2 |  0 |  3 |  4 |  0 |  4 |  1 |  0 |  2 |  4 |  3 |  3 |  
1stmaincardislekiosk | Visits reaching subcategory |  1 |  2 |  1 |  3 |  0 |  2 |  1 |  2 |  5 |  2 |  4 |  2 |  2 |  3 |  3 |  0 |  1 |  1 |  0 |  7 |  4 |  6 |  2 |  3 |  0 |  5 |  6 |  8 |  2 |  2 |  4 |  1 |  4 |  16 |  6 |  4 |  6 |  2 |  10 |  3 |  3 |  0 |  1 |  0 |  0 |  4 |  0 |  1 |  2 |  0 |  2 |  0 |  2 |  1 |  1 |  1 |  4 |  1 |  1 |  2 |  0 |  1 |  2 |  0 |  4 |  0 |  2 |  1 |  1 |  2 |  2 |  1 |  3 |  3 |  0 |  1 |  2 |  0 |  2 |  3 |  0 |  3 |  0 |  0 |  2 |  4 |  3 |  3 |  
1stmaincardislekiosk | Visits reaching design |  0 |  2 |  1 |  1 |  0 |  1 |  1 |  2 |  5 |  1 |  2 |  1 |  2 |  1 |  3 |  0 |  1 |  1 |  0 |  6 |  1 |  6 |  1 |  3 |  0 |  1 |  5 |  7 |  2 |  1 |  2 |  1 |  4 |  13 |  3 |  2 |  5 |  2 |  8 |  2 |  3 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  2 |  0 |  2 |  0 |  1 |  0 |  1 |  0 |  4 |  1 |  1 |  2 |  0 |  1 |  1 |  0 |  2 |  0 |  1 |  0 |  1 |  2 |  0 |  0 |  3 |  2 |  0 |  1 |  0 |  0 |  2 |  3 |  0 |  2 |  0 |  0 |  1 |  3 |  2 |  3 |  
1stmaincardislekiosk | Visits reaching print |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  4 |  0 |  3 |  0 |  0 |  0 |  0 |  2 |  3 |  1 |  1 |  0 |  0 |  3 |  11 |  0 |  0 |  0 |  2 |  0 |  2 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  0 |  0 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  2 |  
1stmaincardislekiosk | Visits reaching purchase |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  4 |  0 |  3 |  0 |  0 |  0 |  0 |  2 |  3 |  1 |  1 |  0 |  0 |  3 |  11 |  0 |  0 |  0 |  2 |  0 |  2 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  
16westkiosk | Total visits |  30 |  17 |  3 |  7 |  55 |  19 |  2 |  51 |  21 |  4 |  5 |  5 |  3 |  7 |  9 |  11 |  8 |  8 |  5 |  9 |  6 |  12 |  11 |  4 |  5 |  12 |  8 |  10 |  15 |  5 |  4 |  2 |  8 |  10 |  4 |  20 |  7 |  2 |  7 |  8 |  2 |  0 |  0 |  7 |  0 |  3 |  9 |  3 |  0 |  10 |  4 |  2 |  2 |  5 |  8 |  2 |  5 |  3 |  1 |  1 |  0 |  7 |  3 |  9 |  2 |  3 |  5 |  5 |  6 |  4 |  5 |  4 |  3 |  6 |  3 |  2 |  4 |  7 |  2 |  1 |  3 |  5 |  3 |  6 |  3 |  3 |  3 |  2 |  
16westkiosk | Visits reaching subcategory |  28 |  14 |  3 |  7 |  53 |  18 |  2 |  50 |  21 |  4 |  4 |  4 |  1 |  7 |  8 |  9 |  8 |  6 |  5 |  9 |  5 |  12 |  11 |  4 |  4 |  11 |  7 |  8 |  14 |  3 |  4 |  1 |  7 |  9 |  4 |  17 |  7 |  2 |  6 |  6 |  1 |  0 |  0 |  7 |  0 |  3 |  8 |  3 |  0 |  9 |  4 |  2 |  2 |  2 |  3 |  1 |  5 |  1 |  1 |  1 |  0 |  2 |  2 |  4 |  0 |  1 |  4 |  1 |  4 |  2 |  5 |  3 |  1 |  4 |  2 |  2 |  3 |  7 |  1 |  1 |  2 |  2 |  3 |  2 |  3 |  3 |  3 |  2 |  
16westkiosk | Visits reaching design |  25 |  13 |  3 |  5 |  53 |  12 |  1 |  46 |  19 |  3 |  3 |  2 |  1 |  6 |  4 |  7 |  7 |  6 |  3 |  5 |  4 |  10 |  9 |  3 |  4 |  5 |  5 |  8 |  11 |  4 |  1 |  0 |  6 |  8 |  3 |  17 |  5 |  2 |  4 |  5 |  0 |  0 |  0 |  5 |  0 |  2 |  6 |  3 |  0 |  5 |  4 |  1 |  1 |  1 |  3 |  0 |  5 |  1 |  1 |  1 |  0 |  2 |  0 |  3 |  0 |  1 |  2 |  1 |  2 |  3 |  2 |  2 |  0 |  3 |  2 |  1 |  1 |  6 |  1 |  0 |  2 |  2 |  3 |  2 |  2 |  2 |  2 |  2 |  
16westkiosk | Visits reaching print |  0 |  4 |  0 |  0 |  11 |  0 |  0 |  5 |  1 |  0 |  0 |  0 |  0 |  4 |  2 |  1 |  1 |  2 |  0 |  0 |  1 |  1 |  1 |  0 |  2 |  2 |  1 |  2 |  1 |  1 |  0 |  0 |  1 |  7 |  0 |  1 |  4 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  2 |  0 |  4 |  1 |  1 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  1 |  1 |  0 |  2 |  2 |  2 |  0 |  1 |  1 |  0 |  1 |  2 |  1 |  0 |  0 |  1 |  2 |  2 |  1 |  1 |  2 |  0 |  
16westkiosk | Visits reaching purchase |  0 |  4 |  0 |  0 |  11 |  0 |  0 |  5 |  1 |  0 |  0 |  0 |  0 |  4 |  2 |  1 |  1 |  2 |  0 |  0 |  1 |  1 |  1 |  0 |  2 |  2 |  1 |  2 |  1 |  1 |  0 |  0 |  1 |  7 |  0 |  1 |  4 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  1 |  0 |  
kiosk7cardisle | Total visits |  0 |  0 |  10 |  19 |  13 |  4 |  9 |  0 |  0 |  5 |  12 |  8 |  0 |  0 |  0 |  0 |  0 |  8 |  12 |  3 |  0 |  4 |  21 |  12 |  10 |  9 |  9 |  8 |  21 |  20 |  16 |  6 |  9 |  12 |  23 |  25 |  27 |  17 |  21 |  22 |  9 |  8 |  24 |  19 |  9 |  12 |  19 |  8 |  20 |  17 |  13 |  11 |  6 |  8 |  5 |  11 |  24 |  9 |  0 |  6 |  2 |  3 |  2 |  3 |  16 |  14 |  13 |  11 |  12 |  11 |  13 |  23 |  13 |  8 |  13 |  20 |  9 |  20 |  19 |  10 |  9 |  13 |  6 |  18 |  21 |  12 |  1 |  12 |  
kiosk7cardisle | Visits reaching subcategory |  0 |  0 |  8 |  11 |  13 |  3 |  9 |  0 |  0 |  5 |  11 |  6 |  0 |  0 |  0 |  0 |  0 |  7 |  11 |  3 |  0 |  4 |  21 |  12 |  8 |  6 |  8 |  8 |  21 |  19 |  12 |  6 |  9 |  11 |  21 |  22 |  25 |  16 |  20 |  20 |  7 |  8 |  22 |  17 |  9 |  9 |  18 |  8 |  17 |  17 |  13 |  9 |  5 |  8 |  1 |  5 |  5 |  6 |  0 |  5 |  1 |  2 |  0 |  2 |  11 |  7 |  8 |  5 |  9 |  4 |  9 |  19 |  6 |  5 |  3 |  9 |  7 |  12 |  13 |  4 |  3 |  7 |  4 |  11 |  19 |  9 |  0 |  10 |  
kiosk7cardisle | Visits reaching design |  0 |  0 |  5 |  9 |  4 |  2 |  8 |  0 |  0 |  3 |  10 |  4 |  0 |  0 |  0 |  0 |  0 |  4 |  9 |  2 |  0 |  3 |  15 |  9 |  4 |  4 |  6 |  6 |  16 |  10 |  9 |  4 |  7 |  8 |  9 |  15 |  18 |  11 |  15 |  8 |  6 |  4 |  15 |  11 |  3 |  5 |  10 |  7 |  9 |  6 |  4 |  6 |  1 |  4 |  1 |  2 |  4 |  4 |  0 |  4 |  1 |  0 |  0 |  2 |  7 |  3 |  4 |  4 |  4 |  2 |  6 |  14 |  5 |  3 |  3 |  7 |  3 |  8 |  8 |  2 |  3 |  5 |  4 |  9 |  9 |  7 |  0 |  5 |  
kiosk7cardisle | Visits reaching print |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  1 |  5 |  0 |  1 |  0 |  1 |  0 |  1 |  3 |  2 |  1 |  6 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  1 |  0 |  0 |  1 |  1 |  1 |  0 |  2 |  3 |  0 |  1 |  8 |  3 |  2 |  0 |  3 |  1 |  4 |  1 |  0 |  2 |  1 |  1 |  7 |  2 |  2 |  0 |  0 |  
kiosk7cardisle | Visits reaching purchase |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  0 |  1 |  0 |  1 |  5 |  0 |  1 |  0 |  1 |  0 |  1 |  3 |  2 |  1 |  6 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  0 |  0 |  
pharmacycardislekiosk | Total visits |  0 |  0 |  0 |  0 |  0 |  21 |  33 |  10 |  3 |  18 |  19 |  6 |  2 |  0 |  1 |  0 |  8 |  8 |  8 |  12 |  14 |  3 |  0 |  6 |  5 |  13 |  5 |  8 |  0 |  0 |  5 |  5 |  2 |  6 |  3 |  5 |  0 |  3 |  5 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  4 |  1 |  3 |  3 |  0 |  2 |  6 |  5 |  4 |  6 |  3 |  0 |  5 |  2 |  3 |  6 |  3 |  1 |  1 |  2 |  1 |  5 |  6 |  1 |  3 |  2 |  2 |  3 |  5 |  3 |  4 |  2 |  0 |  0 |  1 |  7 |  4 |  3 |  6 |  0 |  5 |  1 |  
pharmacycardislekiosk | Visits reaching subcategory |  0 |  0 |  0 |  0 |  0 |  19 |  32 |  10 |  3 |  18 |  17 |  5 |  1 |  0 |  0 |  0 |  7 |  7 |  7 |  11 |  12 |  3 |  0 |  4 |  5 |  12 |  4 |  7 |  0 |  0 |  5 |  5 |  2 |  4 |  3 |  5 |  0 |  3 |  3 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  3 |  1 |  3 |  3 |  0 |  2 |  5 |  4 |  4 |  5 |  2 |  0 |  2 |  2 |  3 |  5 |  1 |  1 |  0 |  2 |  1 |  3 |  5 |  1 |  2 |  1 |  2 |  2 |  3 |  3 |  4 |  1 |  0 |  0 |  1 |  4 |  4 |  3 |  5 |  0 |  5 |  1 |  
pharmacycardislekiosk | Visits reaching design |  0 |  0 |  0 |  0 |  0 |  17 |  26 |  7 |  3 |  15 |  11 |  3 |  1 |  0 |  0 |  0 |  5 |  7 |  5 |  11 |  9 |  2 |  0 |  4 |  3 |  10 |  4 |  6 |  0 |  0 |  5 |  4 |  2 |  3 |  3 |  5 |  0 |  3 |  2 |  3 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  3 |  3 |  0 |  1 |  4 |  3 |  4 |  4 |  2 |  0 |  2 |  2 |  3 |  5 |  1 |  0 |  0 |  2 |  1 |  2 |  3 |  1 |  1 |  0 |  2 |  1 |  2 |  3 |  3 |  1 |  0 |  0 |  1 |  3 |  4 |  2 |  3 |  0 |  2 |  0 |  
pharmacycardislekiosk | Visits reaching print |  0 |  0 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  3 |  7 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  3 |  1 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  2 |  0 |  0 |  0 |  1 |  1 |  0 |  1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  1 |  1 |  1 |  0 |  1 |  0 |  1 |  2 |  0 |  0 |  0 |  0 |  1 |  0 |  3 |  1 |  1 |  0 |  1 |  1 |  2 |  2 |  2 |  0 |  0 |  0 |  0 |  1 |  1 |  2 |  1 |  0 |  1 |  0 |  
pharmacycardislekiosk | Visits reaching purchase |  0 |  0 |  0 |  0 |  0 |  1 |  1 |  0 |  0 |  3 |  7 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  3 |  1 |  0 |  0 |  0 |  1 |  0 |  1 |  0 |  0 |  2 |  0 |  0 |  0 |  1 |  1 |  0 |  1 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  1 |  0 |  1 |  0 |  
metalcardislekiosk | Total visits |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  6 |  3 |  2 |  1 |  0 |  2 |  1 |  16 |  19 |  12 |  8 |  14 |  13 |  12 |  13 |  8 |  18 |  13 |  12 |  16 |  11 |  11 |  12 |  4 |  9 |  5 |  1 |  0 |  0 |  1 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  3 |  4 |  4 |  8 |  3 |  8 |  10 |  4 |  7 |  6 |  10 |  9 |  2 |  5 |  3 |  10 |  8 |  5 |  11 |  6 |  2 |  2 |  6 |  3 |  3 |  10 |  10 |  1 |  0 |  2 |  4 |  9 |  11 |  6 |  8 |  6 |  14 |  6 |  
metalcardislekiosk | Visits reaching subcategory |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  6 |  2 |  1 |  0 |  0 |  1 |  1 |  9 |  18 |  10 |  8 |  11 |  12 |  10 |  13 |  6 |  16 |  10 |  10 |  14 |  10 |  11 |  12 |  4 |  9 |  5 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  3 |  4 |  4 |  6 |  3 |  8 |  3 |  0 |  7 |  2 |  9 |  2 |  1 |  3 |  2 |  5 |  5 |  4 |  9 |  2 |  2 |  1 |  6 |  1 |  3 |  10 |  10 |  1 |  0 |  1 |  4 |  9 |  10 |  6 |  7 |  6 |  11 |  5 |  
metalcardislekiosk | Visits reaching design |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  3 |  2 |  1 |  0 |  0 |  1 |  1 |  8 |  12 |  6 |  5 |  12 |  10 |  10 |  11 |  4 |  13 |  10 |  5 |  11 |  5 |  11 |  6 |  3 |  8 |  5 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  2 |  3 |  3 |  5 |  3 |  7 |  3 |  0 |  5 |  2 |  7 |  2 |  1 |  3 |  1 |  5 |  3 |  3 |  9 |  2 |  1 |  0 |  5 |  0 |  1 |  8 |  6 |  1 |  0 |  0 |  3 |  8 |  6 |  5 |  5 |  5 |  12 |  5 |  
metalcardislekiosk | Visits reaching print |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  4 |  0 |  1 |  4 |  2 |  0 |  7 |  0 |  8 |  2 |  1 |  0 |  4 |  4 |  4 |  0 |  3 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  1 |  3 |  2 |  0 |  1 |  1 |  6 |  1 |  0 |  0 |  1 |  4 |  1 |  0 |  6 |  1 |  0 |  0 |  3 |  0 |  1 |  6 |  4 |  0 |  0 |  0 |  0 |  5 |  1 |  2 |  2 |  1 |  6 |  1 |  
metalcardislekiosk | Visits reaching purchase |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  4 |  0 |  1 |  4 |  2 |  0 |  7 |  0 |  8 |  2 |  1 |  0 |  4 |  4 |  4 |  0 |  3 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  2 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  1 |  0 |  0 |  0 |  0 |  0 |  0 |  0 |  5 |  0 |  0 |  0 |  0 |  0 |  1 |  6 |  4 |  0 |  0 |  0 |  0 |  5 |  1 |  2 |  2 |  1 |  6 |  1 |  
